regione_residenza_domicilio,amministrazione_appartenenza,sesso,eta_max,eta_min,modalita_autenticazione,numero_occorrenze
ABRUZZO,A.O. S. GIOVANNI ADDOLORATA,F,34,25,SPID,2
ABRUZZO,A.O. S. GIOVANNI ADDOLORATA,M,34,25,SPID,3
ABRUZZO,A.O.R.N. ANTONIO CARDARELLI,M,44,35,SPID,3
ABRUZZO,A.O.R.N. ANTONIO CARDARELLI,M,54,45,SPID,2
ABRUZZO,AGENZIA DEL DEMANIO,F,44,35,SPID,3
ABRUZZO,AGENZIA DEL DEMANIO,F,54,45,CIE,2
ABRUZZO,AGENZIA DEL DEMANIO,F,54,45,SPID,10
ABRUZZO,AGENZIA DEL DEMANIO,M,44,35,SPID,8
ABRUZZO,AGENZIA DEL DEMANIO,M,54,45,SPID,9
ABRUZZO,AGENZIA DEL DEMANIO,M,64,55,SPID,6
ABRUZZO,AGENZIA DELLE DOGANE,F, ,65,SPID,5
ABRUZZO,AGENZIA DELLE DOGANE,F,34,25,SPID,7
ABRUZZO,AGENZIA DELLE DOGANE,F,44,35,SPID,19
ABRUZZO,AGENZIA DELLE DOGANE,F,54,45,SPID,18
ABRUZZO,AGENZIA DELLE DOGANE,F,64,55,CIE,3
ABRUZZO,AGENZIA DELLE DOGANE,F,64,55,SPID,31
ABRUZZO,AGENZIA DELLE DOGANE,M, ,65,SPID,5
ABRUZZO,AGENZIA DELLE DOGANE,M,34,25,SPID,22
ABRUZZO,AGENZIA DELLE DOGANE,M,44,35,SPID,17
ABRUZZO,AGENZIA DELLE DOGANE,M,54,45,CIE,2
ABRUZZO,AGENZIA DELLE DOGANE,M,54,45,SPID,34
ABRUZZO,AGENZIA DELLE DOGANE,M,64,55,CIE,5
ABRUZZO,AGENZIA DELLE DOGANE,M,64,55,SPID,33
ABRUZZO,AGENZIA DELLE ENTRATE,F, ,65,CNS,4
ABRUZZO,AGENZIA DELLE ENTRATE,F, ,65,SPID,31
ABRUZZO,AGENZIA DELLE ENTRATE,F,34,25,SPID,65
ABRUZZO,AGENZIA DELLE ENTRATE,F,44,35,CIE,2
ABRUZZO,AGENZIA DELLE ENTRATE,F,44,35,CNS,2
ABRUZZO,AGENZIA DELLE ENTRATE,F,44,35,SPID,76
ABRUZZO,AGENZIA DELLE ENTRATE,F,54,45,CIE,4
ABRUZZO,AGENZIA DELLE ENTRATE,F,54,45,CNS,5
ABRUZZO,AGENZIA DELLE ENTRATE,F,54,45,SPID,126
